District,জেলা
Bagerhat,বাগেরহাট
Bandarban,বান্দরবান
Barguna,বরগুনা
Barisal,বরিশাল
Bhola,ভোলা
Bogra,বগুড়া
Brahamanbaria,ব্রাহ্মণবাড়িয়া
Chandpur,চাঁদপুর
Chittagong,চট্টগ্রাম
Chuadanga,চুয়াডাঙ্গা
Comilla,কুমিল্লা
Cox's Bazar,কক্সবাজার
Dhaka,ঢাকা
Dinajpur,দিনাজপুর
Faridpur,ফরিদপুর
Feni,ফেনী
Gaibandha,গাইবান্ধা
Gazipur,গাজীপুর
Gopalganj,গোপালগঞ্জ
Habiganj,হবিগঞ্জ
Jamalpur,জামালপুর
Jessore,যশোর
Jhalokati,ঝালকাঠি
Jhenaidah,ঝিনাইদহ
Joypurhat,জয়পুরহাট
Khagrachhari,খাগড়াছড়ি
Khulna,খুলনা
Kishoreganj,কিশোরগঞ্জ
Kurigram,কুড়িগ্রাম
Kushtia,কুষ্টিয়া
Lakshmipur,লক্ষ্মীপুর
Lalmonirhat,লালমনিরহাট
Madaripur,মাদারিপুর
Magura,মাগুরা
Manikganj,মানিকগঞ্জ
Maulvibazar,মৌলভিবাজার
Meherpur,মেহেরপুর
Munshiganj,মুন্সীগঞ্জ
Mymensingh,ময়মনসিংহ
Naogaon,নওগাঁ
Narail,নড়াইল
Narayanganj,নারায়ণগঞ্জ
Narsingdi,নরসিংদী
Natore,নাটোর
Nawabganj,নবাবগঞ্জ
Netrakona,নেত্রকোনা
Nilphamari,নীলফামারী
Noakhali,নোয়াখালী
Pabna,পাবনা
Panchagarh,পঞ্চগড়
Patuakhali,পটুয়াখালী
Pirojpur,পিরোজপুর
Rajbari,রাজবাড়ী
Rajshahi,রাজশাহী
Rangamati,রাঙ্গামাটি
Rangpur,রংপুর
Satkhira,সাতক্ষীরা
Shariatpur,শরিয়তপুর
Sherpur,শেরপুর
Sirajganj,সিরাজগঞ্জ
Sunamganj,সুনামগঞ্জ
Sylhet,সিলেট
Tangail,টাঙ্গাইল
Thakurgaon,ঠাকুরগাঁও
